id,function,title,template,description,stage,disciplines,domains,skill_areas,search_aliases,claim_strength,evidence_requirement,causal_design_required,placeholders,keywords,notes,risk,provenance_method,provenance_author,source_reuse,version
RLX-ASC-001,describe_association,Report a scoped association,"Within {scope}, {estimate} indicates an association between {variable_a} and {variable_b}.",Report an empirical association with its population or analytic scope attached.,results,quantitative_research|health_sciences|social_sciences,clinical_health|quantitative_empirical|social_behavioral,evidential_verbs|results,analysis output|association versus causation|behavioral research|biomedical writing|causal overclaim|correlation is not causation|correlation wording|empirical quantitative|findings|health research|non causal link|relationship between variables|social research|statistical analysis,assertive,observational,false,scope|estimate|variable_a|variable_b,association|correlation|covariation|observational result,"Include direction, scale, uncertainty, and adjustment set where relevant.",medium,original_editorial,RhetoriLex contributors,false,1
RLX-ASC-002,describe_association,Report adjusted association,"After adjustment for {covariates}, {finding} remained associated with {outcome}.",Describe an adjusted association without implying that adjustment removes every source of bias.,results,clinical_research|quantitative_research|social_sciences,clinical_health|quantitative_empirical|social_behavioral,evidential_verbs|results,analysis output|association versus causation|behavioral research|causal overclaim|clinical study|correlation is not causation|correlation wording|empirical quantitative|findings|non causal link|relationship between variables|social research|statistical analysis|trial reporting,assertive,observational,false,covariates|finding|outcome,adjusted association|covariates|multivariable model|confounding,"Do not replace associated with affected, influenced, or caused.",high,original_editorial,RhetoriLex contributors,false,1
RLX-ASC-003,describe_association,Report a graded pattern,"Across {exposure_levels}, {pattern} was observed for {outcome}.",Describe a graded or dose-related observational pattern without assigning a causal mechanism.,results,sciences|health_sciences|quantitative_research,clinical_health|experimental_science|quantitative_empirical,evidential_verbs|results,analysis output|association versus causation|biomedical writing|causal overclaim|correlation is not causation|correlation wording|empirical quantitative|experimental research|findings|health research|natural science|non causal link|relationship between variables|statistical analysis,assertive,observational,false,exposure_levels|pattern|outcome,dose response pattern|trend|graded association|exposure levels,A gradient can support but does not alone establish causation.,high,original_editorial,RhetoriLex contributors,false,1
RLX-ASC-004,describe_association,Separate prediction from explanation,"In {evaluation_scope}, {estimate} shows that {predictor} improves prediction of {outcome} relative to {benchmark}.",Report predictive improvement against a benchmark without claiming explanation or intervention benefit.,results,computer_science|quantitative_research|clinical_research,clinical_health|engineering_computing|quantitative_empirical,evidential_verbs|results,algorithm evaluation|analysis output|association versus causation|causal overclaim|clinical study|correlation is not causation|correlation wording|empirical quantitative|findings|machine learning paper|non causal link|relationship between variables|statistical analysis|trial reporting,assertive,direct,false,evaluation_scope|estimate|predictor|outcome|benchmark,predictive performance|benchmark model|incremental prediction|not causation,"Name the held-out population, horizon, metric, and uncertainty when available.",medium,original_editorial,RhetoriLex contributors,false,1
RLX-ATR-001,attribute_source,Attribute a source claim,"According to {source}, {claim} within {scope}.",Keep a proposition attached to the source that advances it and to its stated boundary.,literature_review,general,general_academic,evidential_verbs|literature_writing|paraphrasing,according to source|authors argue|background literature|calibrate evidence verb|citation boundary|evidential verb strength|meaning preserving rewrite|plagiarism safe|preserve citation|related work|structural paraphrase|suggests indicates supports demonstrates confirms,bounded,contextual,false,source|claim|scope,source attribution|citation boundary|reported claim|literature review,Retain the citation and do not present the attributed claim as an uncontested fact.,low,original_editorial,RhetoriLex contributors,false,1
RLX-ATR-002,attribute_source,Attribute an interpretation,"{source} interprets {evidence} as support for {claim}, while acknowledging {limitation}.",Represent a source's interpretation together with the limitation it recognizes.,literature_review,general,general_academic,evidential_verbs|literature_writing|paraphrasing,according to source|authors argue|background literature|calibrate evidence verb|citation boundary|evidential verb strength|meaning preserving rewrite|plagiarism safe|preserve citation|related work|structural paraphrase|suggests indicates supports demonstrates confirms,bounded,contextual,false,source|evidence|claim|limitation,author interpretation|attribution|qualified claim|citation,Replace source with a grammatical author reference and preserve the citation boundary.,medium,original_editorial,RhetoriLex contributors,false,1
RLX-ATR-003,attribute_source,Attribute a working definition,"As {source} defines it, {term} refers to {definition}.",Introduce a source-specific definition without implying that it is the only accepted usage.,literature_review,humanities|law|social_sciences,humanities_interpretive|legal_policy|social_behavioral,evidential_verbs|literature_writing|paraphrasing,according to source|authors argue|background literature|behavioral research|calibrate evidence verb|citation boundary|doctrinal analysis|evidential verb strength|interpretive scholarship|legal scholarship|meaning preserving rewrite|plagiarism safe|preserve citation|related work|social research|structural paraphrase|suggests indicates supports demonstrates confirms|textual analysis,bounded,contextual,false,source|term|definition,source definition|concept attribution|terminology|citation,Preserve quotation marks when wording is copied exactly; otherwise paraphrase and cite.,low,original_editorial,RhetoriLex contributors,false,1
RLX-ATR-004,attribute_source,Separate source positions,"Where {source_a} treats {concept} as {position_a}, {source_b} treats it as {position_b}.",Contrast two attributed positions while preserving ownership of each proposition.,literature_review,general,general_academic,evidential_verbs|literature_writing|paraphrasing,according to source|authors argue|background literature|calibrate evidence verb|citation boundary|evidential verb strength|meaning preserving rewrite|plagiarism safe|preserve citation|related work|structural paraphrase|suggests indicates supports demonstrates confirms,bounded,contextual,false,source_a|concept|position_a|source_b|position_b,compare sources|attributed positions|scholarly debate|citation boundary,Use parallel descriptions and avoid caricaturing either position.,low,original_editorial,RhetoriLex contributors,false,1
RLX-CAU-001,causal_claim,Randomized causal effect,"Under the randomized design and stated assumptions, {evidence} indicates that {cause} changed {outcome} by {estimate}.",State a causal effect from a randomized design while retaining its identifying assumptions.,discussion,sciences|health_sciences|social_sciences,clinical_health|experimental_science|social_behavioral,claim_control|scientific_framing,association versus causation|behavioral research|biomedical writing|causal inference|causal overclaim|cause and effect|correlation is not causation|experimental research|health research|interpretation section|meaning of findings|natural science|social research|treatment effect,causal,direct,true,evidence|cause|outcome|estimate,randomized|causal effect|changed|identification,"Report assignment, adherence, estimand, uncertainty, and assumptions relevant to the effect.",high,original_editorial,RhetoriLex contributors,false,1
RLX-CAU-002,causal_claim,Quasi-experimental causal estimate,"If {identifying_assumption} holds, {estimate} estimates the effect of {cause} on {outcome}.",State a quasi-experimental causal estimate conditional on its central identifying assumption.,discussion,social_sciences|health_sciences|engineering,clinical_health|engineering_computing|social_behavioral,claim_control|scientific_framing,association versus causation|behavioral research|biomedical writing|causal inference|causal overclaim|cause and effect|correlation is not causation|health research|interpretation section|meaning of findings|social research|system evaluation|technical design|treatment effect,causal,direct,true,identifying_assumption|estimate|cause|outcome,quasi-experimental|identifying assumption|causal estimate|effect,"Pair with falsification, balance, sensitivity, or design-specific diagnostic evidence.",high,original_editorial,RhetoriLex contributors,false,1
