id,function,title,template,description,stage,disciplines,claim_strength,evidence_requirement,causal_design_required,placeholders,keywords,notes,risk,provenance_method,provenance_author,source_reuse,version
RLX-CAU-001,causal_claim,Randomized causal effect,"Under the randomized design and stated assumptions, {evidence} indicates that {cause} changed {outcome} by {estimate}.",State a causal effect from a randomized design while retaining its identifying assumptions.,discussion,sciences|health_sciences|social_sciences,causal,direct,true,evidence|cause|outcome|estimate,randomized|causal effect|changed|identification,"Report assignment, adherence, estimand, uncertainty, and assumptions relevant to the effect.",high,original_editorial,RhetoriLex contributors,false,1
RLX-CAU-002,causal_claim,Quasi-experimental causal estimate,"If {identifying_assumption} holds, {estimate} estimates the effect of {cause} on {outcome}.",State a quasi-experimental causal estimate conditional on its central identifying assumption.,discussion,social_sciences|health_sciences|engineering,causal,direct,true,identifying_assumption|estimate|cause|outcome,quasi-experimental|identifying assumption|causal estimate|effect,"Pair with falsification, balance, sensitivity, or design-specific diagnostic evidence.",high,original_editorial,RhetoriLex contributors,false,1
RLX-CAU-003,causal_claim,Convergent causal inference,"Across {evidence}, the causal interpretation that {cause} affects {outcome} is more credible than {alternative}.",Express strengthened causal credibility from independent designs or evidence streams.,discussion,general,causal,convergent,true,evidence|cause|outcome|alternative,causal convergence|triangulation|alternative explanation|credible,Explain how the evidence streams carry different biases and address the named alternative.,high,original_editorial,RhetoriLex contributors,false,1
RLX-CAU-004,causal_claim,Mechanism-linked causal claim,"The intervention altered {mechanism}, and {evidence} supports a resulting change in {outcome}.","Connect an intervention, a measured mechanism, and an outcome under a causal design.",discussion,sciences|engineering|health_sciences,causal,direct,true,mechanism|evidence|outcome,causal mechanism|intervention|mediation|resulting change,A mechanism measurement alone does not establish mediation; report the identifying design.,high,original_editorial,RhetoriLex contributors,false,1
RLX-CMP-001,compare_findings,Compare direction and magnitude,"Like {source}, {finding} shows {similarity}, although the magnitude differs by {difference}.",Compare a shared direction while preserving a meaningful magnitude difference.,discussion,general,assertive,observational,false,source|finding|similarity|difference,compare findings|similarity|magnitude|like,"Ensure both results use compatible outcomes, scales, and comparison groups.",medium,original_editorial,RhetoriLex contributors,false,1
RLX-CMP-002,compare_findings,Compare across contexts,The pattern in {context_a} parallels {finding} in {context_b} with respect to {dimension}.,Identify a specific dimension on which patterns from two contexts align.,literature_review,humanities|social_sciences,bounded,observational,false,context_a|finding|context_b|dimension,parallel|cross-context|comparison|dimension,Do not imply broader equivalence beyond the named dimension.,medium,original_editorial,RhetoriLex contributors,false,1
RLX-CMP-003,compare_findings,Compare methods and outcomes,"Despite using {method_difference}, both analyses produced {finding}.",Highlight outcome agreement across a specified methodological difference.,discussion,general,assertive,convergent,false,method_difference|finding,method comparison|agreement|robustness|both analyses,Methodological diversity strengthens convergence only when biases are not shared.,medium,original_editorial,RhetoriLex contributors,false,1
RLX-CMP-004,compare_findings,Compare with a benchmark,"Relative to {benchmark}, {estimate} represents {comparison} for {outcome}.","Interpret an estimate against an explicit, relevant benchmark.",results,engineering|sciences|health_sciences|social_sciences,bounded,observational,false,benchmark|estimate|comparison|outcome,benchmark|relative to|comparison|estimate,Justify why the selected benchmark is an appropriate reference point.,low,original_editorial,RhetoriLex contributors,false,1
RLX-CON-001,contrast_findings,Contrast by context,"Whereas {source} reports {finding}, the present analysis finds {result} in {scope}.",State a contrast while keeping source and present-study contexts visible.,discussion,general,assertive,observational,false,source|finding|result|scope,whereas|contrast|different finding|scope,Follow with design or context differences that could explain the contrast.,medium,original_editorial,RhetoriLex contributors,false,1
RLX-CON-002,contrast_findings,Contrast predictions,{pattern} aligns with {framework_a} but differs from the prediction of {framework_b}.,Contrast how one observation relates to two specified theoretical predictions.,discussion,general,bounded,observational,false,pattern|framework_a|framework_b,theory contrast|prediction|aligns|differs,State each framework's prediction before judging alignment.,medium,original_editorial,RhetoriLex contributors,false,1
RLX-CON-003,contrast_findings,Contrast subgroup estimates,"The estimate for {group_a} was {estimate}, while the corresponding pattern for {group_b} was {pattern}.",Report a subgroup contrast without assuming the between-group difference is tested.,results,health_sciences|social_sciences|sciences,assertive,direct,false,group_a|estimate|group_b|pattern,subgroup|contrast estimates|while|heterogeneity,Add a formal interaction or contrast test before claiming that effects differ.,medium,original_editorial,RhetoriLex contributors,false,1
RLX-CON-004,contrast_findings,Separate apparent contradiction,The apparent conflict between {source} and {finding} narrows once {distinction} is made explicit.,Resolve or refine an apparent disagreement by identifying a relevant distinction.,literature_review,humanities|social_sciences|general,bounded,contextual,false,source|finding|distinction,apparent conflict|distinction|reconcile|contradiction,"The distinction should change what each claim entails, not merely rename the disagreement.",low,original_editorial,RhetoriLex contributors,false,1
RLX-EVI-001,introduce_evidence,Report a measured result,The analysis yielded {result} for {outcome} in {scope}.,Introduce a quantitative or qualitative result with outcome and scope attached.,results,general,assertive,direct,false,result|outcome|scope,report result|measurement|outcome|analysis,"Include units, uncertainty, and comparison basis where relevant.",low,original_editorial,RhetoriLex contributors,false,1
RLX-EVI-002,introduce_evidence,Attribute source evidence,"In {source}, {evidence} is presented as evidence for {proposition}.",Attribute evidence and its intended proposition without adopting the source's conclusion automatically.,literature_review,general,bounded,contextual,false,source|evidence|proposition,source attribution|evidence|literature|proposition,Use a precise source locator in the citation system required by the venue.,low,original_editorial,RhetoriLex contributors,false,1
RLX-EVI-003,introduce_evidence,Present an observed pattern,"Across {scope}, the observed pattern was {pattern}.",Report a recurring empirical pattern while keeping its domain explicit.,results,sciences|social_sciences|health_sciences,assertive,observational,false,scope|pattern,observed pattern|across cases|empirical|results,Describe exceptions or heterogeneity immediately after the broad pattern when material.,medium,original_editorial,RhetoriLex contributors,false,1
RLX-EVI-004,introduce_evidence,Introduce an uncertainty interval,"The estimate was {estimate}, with an uncertainty interval of {interval}.",Report a point estimate together with its stated uncertainty interval.,results,sciences|engineering|health_sciences|social_sciences,assertive,direct,false,estimate|interval,estimate|confidence interval|uncertainty|precision,Name the interval type and level in nearby text or notation.,low,original_editorial,RhetoriLex contributors,false,1
RLX-GAP-001,identify_gap,Bounded empirical gap,The available {evidence} remains limited for {question} in {scope}.,Identify a specific evidence gap without claiming that no work exists.,introduction,general,bounded,contextual,false,evidence|question|scope,research gap|limited evidence|unresolved question|scope,Support the gap with a transparent search or review boundary.,low,original_editorial,RhetoriLex contributors,false,1
RLX-GAP-002,identify_gap,Unresolved mechanism gap,"Prior findings describe {pattern}, but the mechanism linking it to {outcome} remains unresolved.",Separate evidence for an observed pattern from uncertainty about its mechanism.,introduction,general,bounded,observational,false,pattern|outcome,mechanism gap|remains unresolved|prior findings|outcome,Do not imply that a mechanism is absent merely because it has not been established.,medium,original_editorial,RhetoriLex contributors,false,1
RLX-GAP-003,identify_gap,Measurement gap,"Existing measures capture {covered_dimension}, yet provide limited evidence about {missing_dimension}.",Identify a construct or measurement dimension that current instruments underrepresent.,literature_review,social_sciences|health_sciences|engineering,bounded,contextual,false,covered_dimension|missing_dimension,measurement gap|construct validity|limited evidence|dimension,Ground the distinction between dimensions in theory or validation evidence.,low,original_editorial,RhetoriLex contributors,false,1
RLX-GAP-004,identify_gap,Boundary-condition gap,It is not yet clear whether {finding} holds when {condition} changes.,Frame an open generalizability question as a change in a named condition.,introduction,general,tentative,observational,false,finding|condition,boundary condition|not yet clear|generalizability|open question,Choose a condition with a reasoned basis for effect modification.,low,original_editorial,RhetoriLex contributors,false,1
RLX-INT-001,interpret_evidence,Bounded evidence interpretation,"Within {scope}, {finding} indicates that {claim}.",Interpret a finding as support for a claim inside a named boundary.,discussion,general,assertive,direct,false,scope|finding|claim,interpret finding|indicates|scope|discussion,Use indicates only when the design directly bears on the claim; otherwise select a tentative template.,medium,original_editorial,RhetoriLex contributors,false,1
RLX-INT-002,interpret_evidence,Mechanism-compatible interpretation,One interpretation of {finding} is that {mechanism} may shape {outcome}.,Offer a tentative mechanism that could account for an observed finding.,discussion,general,tentative,observational,false,finding|mechanism|outcome,mechanism|one interpretation|may shape|finding,Present competing mechanisms when the evidence cannot discriminate among them.,medium,original_editorial,RhetoriLex contributors,false,1
RLX-INT-003,interpret_evidence,Practical magnitude interpretation,"In practical terms, {estimate} corresponds to {real_world_meaning} for {stakeholder}.",Translate an estimate into a decision-relevant magnitude for a named stakeholder.,discussion,engineering|health_sciences|social_sciences,bounded,observational,false,estimate|real_world_meaning|stakeholder,practical significance|magnitude|stakeholder|estimate,Keep the translation numerically traceable and separate it from value judgments.,medium,original_editorial,RhetoriLex contributors,false,1
RLX-INT-004,interpret_evidence,Null-compatible interpretation,"Because {result} remains imprecise, the evidence does not distinguish between {possibility_a} and {possibility_b}.",Interpret an inconclusive result without equating non-significance with equivalence.,discussion,sciences|health_sciences|social_sciences,tentative,direct,false,result|possibility_a|possibility_b,inconclusive|imprecision|null result|does not distinguish,State the precision criterion or interval that leaves both possibilities open.,low,original_editorial,RhetoriLex contributors,false,1
RLX-LIM-001,state_limitation,Sampling limitation,"Because the sample excludes {excluded_group}, {finding} should be generalized only to {scope}.",Connect a sampling boundary directly to the supported target population.,discussion,general,bounded,observational,false,excluded_group|finding|scope,sampling limitation|generalize|excluded group|scope,Avoid implying how the result would change in the excluded group without evidence.,low,original_editorial,RhetoriLex contributors,false,1
RLX-LIM-002,state_limitation,Measurement limitation,"The measure captures {construct} through {indicator}, which may omit {uncaptured_dimension}.",Specify which construct dimension a measure captures and what it may miss.,discussion,general,tentative,contextual,false,construct|indicator|uncaptured_dimension,measurement limitation|indicator|construct|omit,Describe likely direction of bias only when supported.,low,original_editorial,RhetoriLex contributors,false,1
RLX-LIM-003,state_limitation,Design limitation on causality,"Since {design_feature} does not rule out {alternative}, {finding} should not be read as causal evidence.",Explain why a design cannot support causal interpretation of a finding.,discussion,sciences|health_sciences|social_sciences,bounded,observational,false,design_feature|alternative|finding,causal limitation|confounding|design|not causal,Name the specific alternative causal pathway or bias left open.,medium,original_editorial,RhetoriLex contributors,false,1
RLX-LIM-004,state_limitation,Precision limitation,The wide uncertainty around {estimate} leaves both {interpretation_a} and {interpretation_b} compatible with {result}.,Tie limited precision to the range of interpretations still supported.,discussion,general,tentative,direct,false,estimate|interpretation_a|interpretation_b|result,precision limitation|wide uncertainty|compatible|estimate,Report the interval or sensitivity range that motivates the statement.,low,original_editorial,RhetoriLex contributors,false,1
RLX-POS-001,position_claim,Direct scoped position,This study argues that {claim} within {scope}.,State the central position while naming the boundary within which it applies.,introduction,general,bounded,contextual,false,claim|scope,argument|central claim|thesis|scope,"Replace scope with a population, setting, corpus, period, or analytic boundary.",low,original_editorial,RhetoriLex contributors,false,1
RLX-POS-002,position_claim,Position from observed result,"Given {finding}, the more defensible interpretation is that {claim}.",Choose a bounded position after presenting a relevant empirical finding.,discussion,general,assertive,observational,false,finding|claim,defensible interpretation|position|finding|argument,The claim must remain within what the stated finding can distinguish.,medium,original_editorial,RhetoriLex contributors,false,1
RLX-POS-003,position_claim,Theory-guided proposition,"Using {framework} as the analytic lens, we propose that {claim}.",Locate a proposition inside a named theoretical or conceptual framework.,literature_review,humanities|social_sciences,bounded,contextual,false,framework|claim,framework|analytic lens|proposition|theory,Clarify whether the framework guides interpretation or is itself being tested.,low,original_editorial,RhetoriLex contributors,false,1
RLX-POS-004,position_claim,Convergent position,"Taken together, {evidence} supports the position that {claim}.",State a position supported by multiple independent and mutually relevant lines of evidence.,conclusion,general,assertive,convergent,false,evidence|claim,taken together|convergent evidence|position|conclusion,Name the independent lines of evidence instead of using convergence as decoration.,medium,original_editorial,RhetoriLex contributors,false,1
RLX-QUA-001,qualify_claim,Confidence qualifier,"The available evidence, {evidence}, suggests but does not establish that {claim}.",Mark an interpretation as plausible while explicitly withholding certainty.,discussion,general,tentative,observational,false,evidence|claim,qualify|suggests|uncertainty|does not establish,Keep evidence wording concrete nearby; this sentence is not a substitute for describing it.,low,original_editorial,RhetoriLex contributors,false,1
RLX-QUA-002,qualify_claim,Boundary qualifier,This claim is limited to {scope} and may not extend to {excluded_context}.,Prevent overgeneralization by naming both the supported scope and an excluded context.,discussion,general,bounded,contextual,false,scope|excluded_context,boundary|generalizability|limited to|scope,Choose an excluded context that differs on a theoretically relevant dimension.,low,original_editorial,RhetoriLex contributors,false,1
RLX-QUA-003,qualify_claim,Conditional interpretation,"If {condition} holds, {finding} is consistent with {claim}.",Make the premise needed for an empirical interpretation visible.,discussion,sciences|engineering|social_sciences,bounded,observational,false,condition|finding|claim,conditional|consistent with|assumption|interpretation,State a checkable condition; avoid conditions that merely restate the claim.,medium,original_editorial,RhetoriLex contributors,false,1
RLX-QUA-004,qualify_claim,Alternative-compatible claim,"Although {finding} supports {claim}, it remains compatible with {alternative}.",Acknowledge a live alternative explanation when evidence is not uniquely diagnostic.,discussion,general,tentative,observational,false,finding|claim|alternative,alternative explanation|compatible|qualifier|non-unique,Use only when the alternative could plausibly generate the stated finding.,medium,original_editorial,RhetoriLex contributors,false,1
